Storage Modulus (MPa),Temperature (C),Frequency (Hz)
72.854,30,0.1
75.523,30,0.121
76.269,30,0.147
76.086,30,0.178
76.235,30,0.215
76.366,30,0.261
76.34,30,0.316
76.173,30,0.383
76.554,30,0.464
76.63,30,0.562
76.687,30,0.681
76.857,30,0.825
77.018,30,1
77.254,30,1.21
77.116,30,1.47
77.165,30,1.78
77.267,30,2.15
77.334,30,2.61
77.26,30,3.16
77.444,30,3.83
77.629,30,4.64
77.688,30,5.62
77.718,30,6.81
77.597,30,8.25
77.267,30,10
72.842,40,0.1
74.429,40,0.121
74.476,40,0.147
74.972,40,0.178
74.846,40,0.215
75.122,40,0.261
75.283,40,0.316
75.303,40,0.383
75.588,40,0.464
75.622,40,0.562
75.651,40,0.681
75.817,40,0.825
75.665,40,1
76.174,40,1.21
76.061,40,1.47
76.089,40,1.78
76.102,40,2.15
76.499,40,2.61
76.474,40,3.16
76.316,40,3.83
76.436,40,4.64
76.877,40,5.62
76.992,40,6.81
76.91,40,8.25
76.511,40,10
71.963,50,0.1
73.972,50,0.121
74.234,50,0.147
74.62,50,0.178
74.532,50,0.215
74.693,50,0.261
74.77,50,0.316
74.816,50,0.383
74.828,50,0.464
74.901,50,0.562
75.005,50,0.681
75.192,50,0.825
75.126,50,1
75.239,50,1.21
75.334,50,1.47
75.481,50,1.78
75.737,50,2.15
75.732,50,2.61
75.737,50,3.16
76.003,50,3.83
75.842,50,4.64
76.094,50,5.62
76.257,50,6.81
76.515,50,8.25
75.645,50,10
71.814,60,0.1
73.476,60,0.121
73.611,60,0.147
73.798,60,0.178
73.861,60,0.215
73.88,60,0.261
74.226,60,0.316
74.508,60,0.383
74.344,60,0.464
74.493,60,0.562
74.615,60,0.681
74.775,60,0.825
74.733,60,1
74.819,60,1.21
75.064,60,1.47
75.109,60,1.78
75.485,60,2.15
75.678,60,2.61
75.727,60,3.16
75.563,60,3.83
75.667,60,4.64
75.884,60,5.62
75.778,60,6.81
76.108,60,8.25
75.453,60,10
71.255,70,0.1
72.954,70,0.121
72.834,70,0.147
73.071,70,0.178
73.299,70,0.215
73.358,70,0.261
73.57,70,0.316
73.637,70,0.383
73.734,70,0.464
73.95,70,0.562
74.096,70,0.681
74.229,70,0.825
74.39,70,1
74.531,70,1.21
74.5,70,1.47
74.728,70,1.78
74.919,70,2.15
74.916,70,2.61
75.541,70,3.16
75.14,70,3.83
75.565,70,4.64
75.618,70,5.62
75.498,70,6.81
75.341,70,8.25
75.425,70,10
69.945,80,0.1
71.126,80,0.121
71.564,80,0.147
71.724,80,0.178
71.939,80,0.215
71.97,80,0.261
72.301,80,0.316
72.461,80,0.383
72.503,80,0.464
72.766,80,0.562
72.91,80,0.681
73.087,80,0.825
73.326,80,1
73.319,80,1.21
73.562,80,1.47
73.654,80,1.78
73.807,80,2.15
73.961,80,2.61
73.818,80,3.16
74.253,80,3.83
74.363,80,4.64
74.562,80,5.62
74.798,80,6.81
74.875,80,8.25
74.266,80,10
68.022,90,0.1
69.206,90,0.121
69.151,90,0.147
69.929,90,0.178
70.355,90,0.215
70.332,90,0.261
70.546,90,0.316
70.772,90,0.383
70.943,90,0.464
71.179,90,0.562
71.323,90,0.681
71.418,90,0.825
71.562,90,1
71.71,90,1.21
72.049,90,1.47
72.16,90,1.78
72.332,90,2.15
72.67,90,2.61
72.749,90,3.16
72.88,90,3.83
73.037,90,4.64
73.141,90,5.62
73.186,90,6.81
73.449,90,8.25
73.437,90,10
66.443,100,0.1
67.518,100,0.121
67.642,100,0.147
67.832,100,0.178
68.347,100,0.215
68.46,100,0.261
68.486,100,0.316
68.853,100,0.383
69.076,100,0.464
69.288,100,0.562
69.472,100,0.681
69.668,100,0.825
69.767,100,1
70.134,100,1.21
70.309,100,1.47
70.407,100,1.78
70.687,100,2.15
70.679,100,2.61
71.271,100,3.16
71.099,100,3.83
71.217,100,4.64
71.415,100,5.62
71.53,100,6.81
72.084,100,8.25
71.868,100,10
64.5,110,0.1
65.357,110,0.121
65.457,110,0.147
65.802,110,0.178
66.058,110,0.215
66.29,110,0.261
66.449,110,0.316
66.605,110,0.383
66.96,110,0.464
67.103,110,0.562
67.349,110,0.681
67.592,110,0.825
67.658,110,1
68.105,110,1.21
68.03,110,1.47
68.378,110,1.78
68.734,110,2.15
68.89,110,2.61
68.994,110,3.16
69.328,110,3.83
69.565,110,4.64
69.47,110,5.62
69.654,110,6.81
70.149,110,8.25
70.03,110,10
62.096,120,0.1
63.214,120,0.121
63.19,120,0.147
63.456,120,0.178
63.549,120,0.215
63.706,120,0.261
64,120,0.316
64.001,120,0.383
64.48,120,0.464
64.727,120,0.562
65.027,120,0.681
65.307,120,0.825
65.388,120,1
65.727,120,1.21
65.866,120,1.47
66.113,120,1.78
66.312,120,2.15
66.342,120,2.61
66.973,120,3.16
67.096,120,3.83
67.104,120,4.64
67.379,120,5.62
67.692,120,6.81
67.677,120,8.25
67.572,120,10
59.786,130,0.1
60.358,130,0.121
60.887,130,0.147
60.723,130,0.178
61.007,130,0.215
61.303,130,0.261
61.675,130,0.316
61.949,130,0.383
62.064,130,0.464
62.342,130,0.562
62.562,130,0.681
62.834,130,0.825
63.217,130,1
63.154,130,1.21
63.524,130,1.47
63.722,130,1.78
