Storage Modulus (MPa),Temperature (C),Frequency (Hz)
1847.494,-10,1
1852.284,-10,1.3
1857.321,-10,1.6
1862.652,-10,2
1867.623,-10,2.5
1872.999,-10,3.2
1882.063,-10,5
1887.283,-10,6.3
1891.989,-10,7.9
1896.769,-10,10
1901.181,-10,12.6
1905.374,-10,15.8
1908.951,-10,19
1913.028,-10,25
1918.059,-10,31.6
1921.927,-10,39.8
1922.619,-10,50
1929.491,-10,63
1925.233,-10,79.5
1919.004,-10,100
1770.852,-5,1
1776.261,-5,1.3
1781.063,-5,1.6
1786.578,-5,2
1791.963,-5,2.5
1797.162,-5,3.2
1806.687,-5,5
1811.697,-5,6.3
1816.061,-5,7.9
1820.714,-5,10
1825,-5,12.6
1829.028,-5,15.8
1832.714,-5,19
1837.014,-5,25
1842,-5,31.6
1845.914,-5,39.8
1847.009,-5,50
1853.924,-5,63
1849.99,-5,79.5
1843.222,-5,100
1675.446,0,1
1683.62,0,1.3
1690.784,0,1.6
1697.577,0,2
1703.897,0,2.5
1710.428,0,3.2
1721.194,0,5
1727.127,0,6.3
1732.25,0,7.9
1737.471,0,10
1742.201,0,12.6
1746.66,0,15.8
1750.513,0,19
1754.961,0,25
1760.31,0,31.6
1764.676,0,39.8
1766.034,0,50
1773.602,0,63
1770.434,0,79.5
1764.765,0,100
1584.899,5,1
1593.512,5,1.3
1600.804,5,1.6
1608.478,5,2
1615.775,5,2.5
1623.016,5,3.2
1635.118,5,5
1641.365,5,6.3
1646.827,5,7.9
1652.338,5,10
1657.56,5,12.6
1662.415,5,15.8
1666.496,5,19
1671.48,5,25
1677.25,5,31.6
1682.244,5,39.8
1684.146,5,50
1691.553,5,63
1689.02,5,79.5
1684.343,5,100
1485.878,10,1
1496.421,10,1.3
1505.371,10,1.6
1514.571,10,2
1523.278,10,2.5
1531.854,10,3.2
1546.004,10,5
1553.259,10,6.3
1559.579,10,7.9
1565.755,10,10
1571.446,10,12.6
1576.821,10,15.8
1581.188,10,19
1586.743,10,25
1592.897,10,31.6
1598.161,10,39.8
1600.237,10,50
1608.086,10,63
1605.87,10,79.5
1602.095,10,100
1382.797,15,1
1395.986,15,1.3
1406.925,15,1.6
1418.023,15,2
1428.43,15,2.5
1439.021,15,3.2
1457.208,15,5
1464.638,15,6.3
1471.936,15,7.9
1478.96,15,10
1485.597,15,12.6
1491.683,15,15.8
1496.604,15,19
1502.609,15,25
1508.933,15,31.6
1514.647,15,39.8
1517.239,15,50
1525.126,15,63
1523.198,15,79.5
1519.517,15,100
1278.763,20,1
1295.165,20,1.3
1307.098,20,1.6
1320.014,20,2
1332.176,20,2.5
1344.576,20,3.2
1365.899,20,5
1374.719,20,6.3
1383.455,20,7.9
1391.681,20,10
1399.43,20,12.6
1406.454,20,15.8
1411.968,20,19
1418.679,20,25
1425.529,20,31.6
1432.203,20,39.8
1435.437,20,50
1443.545,20,63
1441.938,20,79.5
1440.911,20,100
1175.615,25,1
1193.652,25,1.3
1207.886,25,1.6
1222.406,25,2
1236.215,25,2.5
1250.486,25,3.2
1274.255,25,5
1284.601,25,6.3
1294.752,25,7.9
1304.5,25,10
1313.421,25,12.6
1321.535,25,15.8
1327.881,25,19
1335.755,25,25
1343.17,25,31.6
1350.535,25,39.8
1354.201,25,50
1363.033,25,63
1361.908,25,79.5
1361.812,25,100
1068.485,30,1
1087.852,30,1.3
1103.124,30,1.6
1118.924,30,2
1134.031,30,2.5
1150.077,30,3.2
1176.869,30,5
1189.546,30,6.3
1200.504,30,7.9
1211.819,30,10
1222.247,30,12.6
1231.739,30,15.8
1239.012,30,19
1248.49,30,25
1256.819,30,31.6
1264.877,30,39.8
1269.251,30,50
1278.78,30,63
