Time (min),Temperature (C),Storage Modulus (MPa),Loss Modulus (MPa),Stress (MPa),Tan Delta,Frequency (Hz),Drive Force (N),Amplitude (µm),Strain (%),Displacement (µm),Static Force (N),Position (mm),Length (mm),Force (N),Stiffness (N/m),GCA Pressure (kPa gauge),,,,
10.12683,-10.05449,1847.494,62.79527,1.179827,0.03398942,1,2.854673,25.00259,0.06386094,13221.77,2.19E-07,13.22177,0,3.144779,125778.1,1.5169,,,,
11.10383,-10.05338,1852.284,60.5235,1.182787,0.03267508,1.3,2.862411,25.0005,0.0638556,13221.82,3.28E-06,13.22182,0,3.152668,126104.2,1.58585,,,,
12.30583,-10.06601,1857.321,58.812,1.185918,0.03166496,1.6,2.868992,24.9987,0.063851,13221.92,2.7E-06,13.22192,0,3.161013,126447.1,1.6548,,,,
12.68284,-10.06885,1862.652,57.11445,1.189413,0.03066297,2,2.87628,25.0006,0.06385588,13221.94,2.19E-06,13.22194,0,3.170328,126810.1,1.58585,,,,
12.9265,-10.07098,1867.623,55.68493,1.19258,0.02981594,2.5,2.882544,25.00047,0.06385552,13221.96,2.19E-06,13.22196,0,3.17877,127148.4,1.58585,,,,
13.9285,-10.05866,1872.999,54.27696,1.195982,0.02897864,3.2,2.889,24.99981,0.06385383,13222.03,1.82E-06,13.22203,0,3.187838,127514.5,1.6548,,,,
14.3055,-10.06211,1882.063,52.34714,1.201788,0.0278137,5,2.898536,25.00022,0.06385488,13222.05,1.53E-06,13.22205,0,3.203316,128131.5,1.72375,,,,
15.2825,-10.05818,1887.283,51.37876,1.20508,0.02722366,6.3,2.90151,24.99934,0.06385266,13222.12,1.02E-06,13.22212,0,3.21209,128487,1.72375,,,,
16.4845,-10.05184,1891.989,50.55606,1.208093,0.02672112,7.9,2.9024,24.9995,0.06385305,13222.22,2.19E-07,13.22222,0,3.22012,128807.4,1.72375,,,,
16.8615,-10.02882,1896.769,50.11102,1.21111,0.02641914,10,2.899735,24.99878,0.06385122,13222.24,0,13.22224,0,3.228162,129132.8,1.72375,,,,
